,Date,Country,Day
619,2021-05-24,Netherlands,Whit Monday
620,2021-12-25,Netherlands,Christmas Day
621,2021-12-26,Netherlands,St. Stephen's Day
622,2021-01-01,New Zealand,New Year's Day
623,2021-01-04,New Zealand,Day after New Year's Day
624,2021-02-08,New Zealand,Waitangi Day
625,2021-04-02,New Zealand,Good Friday
626,2021-04-05,New Zealand,Easter Monday
627,2021-04-26,New Zealand,Anzac Day
628,2021-06-07,New Zealand,Queen's Birthday
629,2021-10-25,New Zealand,Labour Day
630,2021-12-27,New Zealand,Christmas Day
631,2021-12-28,New Zealand,Boxing Day
632,2021-01-01,Niger,New Year's Day
633,2021-04-05,Niger,Easter Monday
634,2021-04-24,Niger,Concord Day
635,2021-05-01,Niger,Labour Day
636,2021-08-03,Niger,Nigerien Independence Day
637,2021-12-18,Niger,Nigerien Republic Day
638,2021-12-25,Niger,Christmas Day
639,2021-01-01,North Macedonia,New Year's Day
640,2021-01-07,North Macedonia,Christmas Day
641,2021-04-30,North Macedonia,Good Friday
642,2021-05-01,North Macedonia,Labour Day
643,2021-05-02,North Macedonia,Easter Sunday
644,2021-05-03,North Macedonia,Easter Monday
645,2021-05-24,North Macedonia,Saints Cyril and Methodius Day
646,2021-08-02,North Macedonia,Day of the Republic
647,2021-09-08,North Macedonia,Independence Day
648,2021-10-11,North Macedonia,Revolution Day
649,2021-10-23,North Macedonia,Day of the Macedonian Revolutionary Struggle
650,2021-12-08,North Macedonia,Saint Clement of Ohrid Day
651,2021-01-01,Norway,New Year's Day
652,2021-04-01,Norway,Maundy Thursday
653,2021-04-02,Norway,Good Friday
654,2021-04-04,Norway,Easter Sunday
655,2021-04-05,Norway,Easter Monday
656,2021-05-01,Norway,Labour Day
657,2021-05-13,Norway,Ascension Day
658,2021-05-17,Norway,Constitution Day
659,2021-05-23,Norway,Pentecost
660,2021-05-24,Norway,Whit Monday
661,2021-12-25,Norway,Christmas Day
662,2021-12-26,Norway,St. Stephen's Day
663,2021-01-01,Panama,New Year's Day
664,2021-01-09,Panama,Martyr's Day
665,2021-02-15,Panama,Carnival
666,2021-02-16,Panama,Carnival
667,2021-04-02,Panama,Good Friday
668,2021-05-01,Panama,Labour Day
669,2021-11-03,Panama,Separation Day
670,2021-11-04,Panama,Flag Day
671,2021-11-05,Panama,Colon Day
672,2021-11-10,Panama,Shout in Villa de los Santos
673,2021-11-28,Panama,Independence Day
674,2021-12-08,Panama,Mothers' Day
675,2021-12-25,Panama,Christmas Day
676,2021-01-01,Papua New Guinea,New Year's Day
677,2021-04-02,Papua New Guinea,Good Friday
678,2021-04-03,Papua New Guinea,Holy Saturday
679,2021-04-04,Papua New Guinea,Easter Sunday
680,2021-04-05,Papua New Guinea,Easter Monday
681,2021-06-14,Papua New Guinea,Queen's Birthday
682,2021-07-23,Papua New Guinea,Remembrance Day
683,2021-08-26,Papua New Guinea,Repentance Day
684,2021-09-16,Papua New Guinea,Independence Day
685,2021-12-25,Papua New Guinea,Christmas Day
686,2021-12-26,Papua New Guinea,St. Stephen's Day
687,2021-01-01,Paraguay,New Year's Day
688,2021-03-01,Paraguay,Heroes' day
689,2021-04-01,Paraguay,Maundy Thursday
690,2021-04-02,Paraguay,Good Friday
691,2021-05-01,Paraguay,Labour Day
692,2021-05-14,Paraguay,Paraguayan Independence
693,2021-05-15,Paraguay,Paraguayan Independence
694,2021-06-12,Paraguay,Chaco Armistice
695,2021-08-15,Paraguay,Founding of Asunción
696,2021-09-29,Paraguay,Boqueron Battle Victory Day
697,2021-12-08,Paraguay,Virgin of Caacupe
698,2021-12-25,Paraguay,Christmas Day
699,2021-01-01,Poland,New Year's Day
700,2021-01-06,Poland,Epiphany
701,2021-04-04,Poland,Easter Sunday
702,2021-04-05,Poland,Easter Monday
703,2021-05-01,Poland,May Day
704,2021-05-03,Poland,Constitution Day
705,2021-05-23,Poland,Pentecost
706,2021-06-03,Poland,Corpus Christi
707,2021-08-15,Poland,Assumption Day
708,2021-11-01,Poland,All Saints' Day
709,2021-11-11,Poland,Independence Day
710,2021-12-25,Poland,Christmas Day
711,2021-12-26,Poland,St. Stephen's Day
712,2021-01-01,Portugal,New Year's Day
713,2021-02-16,Portugal,Carnival
714,2021-04-02,Portugal,Good Friday
715,2021-04-04,Portugal,Easter Sunday
716,2021-04-25,Portugal,Freedom Day
717,2021-05-01,Portugal,Labour Day
718,2021-06-01,Portugal,Azores Day
719,2021-06-03,Portugal,Corpus Christi
720,2021-06-10,Portugal,National Day
721,2021-07-01,Portugal,Madeira Day
722,2021-08-15,Portugal,Assumption Day
723,2021-10-05,Portugal,Republic Day
724,2021-11-01,Portugal,All Saints Day
725,2021-12-01,Portugal,Restoration of Independence
726,2021-12-08,Portugal,Immaculate Conception
727,2021-12-25,Portugal,Christmas Day
728,2021-12-26,Portugal,St. Stephen's Day
729,2021-01-01,Romania,New Year's Day
730,2021-01-02,Romania,Day after New Year's Day
731,2021-01-24,Romania,Union Day/Small Union
732,2021-04-30,Romania,Good Friday
733,2021-05-01,Romania,Labour Day
734,2021-05-02,Romania,Easter Sunday
735,2021-05-03,Romania,Easter Monday
736,2021-06-01,Romania,Children's Day
737,2021-06-20,Romania,Pentecost
738,2021-06-21,Romania,Whit Monday
739,2021-08-15,Romania,Dormition of the Theotokos
740,2021-11-30,Romania,St. Andrew's Day
741,2021-12-01,Romania,National Day/Great Union
742,2021-12-25,Romania,Christmas Day
743,2021-12-26,Romania,St. Stephen's Day
744,2021-01-01,Russia,New Year's Day
745,2021-01-02,Russia,New Year holiday
746,2021-01-03,Russia,New Year holiday
747,2021-01-04,Russia,New Year holiday
748,2021-01-05,Russia,New Year holiday
749,2021-01-06,Russia,New Year holiday
750,2021-01-07,Russia,Orthodox Christmas Day
751,2021-02-23,Russia,Defender of the Fatherland Day
752,2021-03-08,Russia,International Women's Day
753,2021-05-01,Russia,Labour Day
754,2021-05-09,Russia,Victory Day
755,2021-06-12,Russia,Russia Day
756,2021-11-04,Russia,Unity Day
757,2021-01-01,San Marino,New Year's Day
758,2021-01-06,San Marino,Epiphany
759,2021-02-05,San Marino,Feast of Saint Agatha
760,2021-03-25,San Marino,Anniversary of the Arengo
761,2021-04-04,San Marino,Easter Sunday
762,2021-04-05,San Marino,Easter Monday
763,2021-05-01,San Marino,Labour Day
764,2021-06-03,San Marino,Corpus Christi
765,2021-07-28,San Marino,Liberation from Fascism
766,2021-08-15,San Marino,Ferragosto (Assumption)
767,2021-09-03,San Marino,The Feast of San Marino and the Republic
768,2021-11-01,San Marino,All Saints' Day
769,2021-11-02,San Marino,Commemoration of all those who died at war
770,2021-12-08,San Marino,Immaculate Conception
771,2021-12-24,San Marino,Christmas Eve
772,2021-12-25,San Marino,Christmas Day
773,2021-12-26,San Marino,Saint Stephen's Day
774,2021-12-31,San Marino,New Year's Eve
775,2021-01-01,Serbia,New Year's Day
776,2021-01-02,Serbia,New Year's Day
777,2021-01-07,Serbia,Christmas Day
778,2021-02-15,Serbia,Statehood Day
779,2021-02-16,Serbia,Statehood Day
780,2021-04-30,Serbia,Good Friday
781,2021-05-01,Serbia,May Day / International Workers' Day
782,2021-05-02,Serbia,Easter Sunday
783,2021-05-02,Serbia,May Day / International Workers' Day
784,2021-05-03,Serbia,Easter Monday
785,2021-11-11,Serbia,Armistice Day
786,2021-01-01,Slovakia,Day of the Establishment of the Slovak Republic
787,2021-01-06,Slovakia,Epiphany
788,2021-04-02,Slovakia,Good Friday
789,2021-04-05,Slovakia,Easter Monday
790,2021-05-01,Slovakia,International Workers' Day
791,2021-05-08,Slovakia,Day of victory over fascism
792,2021-07-05,Slovakia,St. Cyril and Methodius Day
793,2021-08-29,Slovakia,Slovak National Uprising anniversary
794,2021-09-01,Slovakia,Day of the Constitution of the Slovak Republic
795,2021-09-15,Slovakia,Day of Our Lady of the Seven Sorrows
796,2021-11-01,Slovakia,All Saints’ Day
797,2021-11-17,Slovakia,Struggle for Freedom and Democracy Day
798,2021-12-24,Slovakia,Christmas Eve
799,2021-12-25,Slovakia,Christmas Day
800,2021-12-26,Slovakia,St. Stephen's Day
801,2021-01-01,Slovenia,New Year's Day
802,2021-01-02,Slovenia,New Year's Day
803,2021-02-08,Slovenia,Prešeren Day
804,2021-04-04,Slovenia,Easter Sunday
805,2021-04-05,Slovenia,Easter Monday
806,2021-04-27,Slovenia,Day of Uprising Against Occupation
807,2021-05-01,Slovenia,May Day Holiday
808,2021-05-02,Slovenia,May Day Holiday
809,2021-05-23,Slovenia,Pentecost
810,2021-06-25,Slovenia,Statehood Day
811,2021-08-15,Slovenia,Assumption Day
812,2021-10-31,Slovenia,Reformation Day
813,2021-11-01,Slovenia,Day of the Dead
814,2021-12-25,Slovenia,Christmas Day
815,2021-12-26,Slovenia,Independence and Unity Day
816,2021-01-01,South Africa,New Year's Day
817,2021-03-21,South Africa,Human Rights Day
818,2021-04-02,South Africa,Good Friday
819,2021-04-05,South Africa,Family Day
820,2021-04-27,South Africa,Freedom Day
821,2021-05-01,South Africa,Workers' Day
822,2021-06-16,South Africa,Youth Day
823,2021-08-09,South Africa,National Women's Day
824,2021-09-24,South Africa,Heritage Day
825,2021-12-16,South Africa,Day of Reconciliation
826,2021-12-25,South Africa,Christmas Day
827,2021-12-26,South Africa,St. Stephen's Day
828,2021-01-01,South Korea,New Year's Day
829,2021-02-11,South Korea,Lunar New Year
830,2021-02-12,South Korea,Lunar New Year
831,2021-02-13,South Korea,Lunar New Year
832,2021-03-01,South Korea,Independence Movement Day
833,2021-05-05,South Korea,Children's Day
834,2021-05-19,South Korea,Buddha's Birthday
835,2021-06-06,South Korea,Memorial Day
836,2021-08-15,South Korea,Liberation Day
837,2021-09-20,South Korea,Chuseok
838,2021-09-21,South Korea,Chuseok
839,2021-09-22,South Korea,Chuseok
840,2021-10-03,South Korea,National Foundation Day
841,2021-10-09,South Korea,Hangul Day
842,2021-12-25,South Korea,Christmas Day
843,2021-01-01,Suriname,New Year's Day
844,2021-01-06,Suriname,Three Kings Day
845,2021-01-17,Suriname,World Religion Day
846,2021-02-12,Suriname,Chinese New Year
847,2021-02-25,Suriname,Day of the Revolution
848,2021-04-02,Suriname,Good Friday
849,2021-04-04,Suriname,Easter Sunday
850,2021-05-01,Suriname,Labour Day
851,2021-05-13,Suriname,Ascension Day
852,2021-06-05,Suriname,Indian Arrival Day
853,2021-07-01,Suriname,Keti Koti
854,2021-08-08,Suriname,Javanese Arrival Day
855,2021-08-09,Suriname,Indigenous People's Day
856,2021-10-10,Suriname,Day of the Maroons
857,2021-10-20,Suriname,Chinese Arrival day
858,2021-11-25,Suriname,Independence Day
859,2021-12-25,Suriname,Christmas Day
860,2021-12-26,Suriname,Boxing Day
861,2021-01-01,Svalbard and Jan Mayen,New Year's Day
862,2021-04-01,Svalbard and Jan Mayen,Maundy Thursday
863,2021-04-02,Svalbard and Jan Mayen,Good Friday
864,2021-04-04,Svalbard and Jan Mayen,Easter Sunday
865,2021-04-05,Svalbard and Jan Mayen,Easter Monday
866,2021-05-01,Svalbard and Jan Mayen,May Day
867,2021-05-13,Svalbard and Jan Mayen,Ascension Day
868,2021-05-17,Svalbard and Jan Mayen,Constitution Day
869,2021-05-23,Svalbard and Jan Mayen,Pentecost
870,2021-05-24,Svalbard and Jan Mayen,Whit Monday
871,2021-12-25,Svalbard and Jan Mayen,Christmas Day
872,2021-12-26,Svalbard and Jan Mayen,Second day of Christmas
873,2021-01-01,Ukraine,New Year's Day
874,2021-01-07,Ukraine,(Julian) Christmas
875,2021-03-08,Ukraine,International Women's Day
876,2021-05-01,Ukraine,International Workers' Day
877,2021-05-02,Ukraine,Easter Sunday
878,2021-05-09,Ukraine,Victory day over Nazism in World War II
879,2021-06-20,Ukraine,Pentecost
880,2021-06-28,Ukraine,Constitution Day
881,2021-08-24,Ukraine,Independence Day
882,2021-10-14,Ukraine,Defender of Ukraine Day
883,2021-12-25,Ukraine,(Gregorian and Revised Julian) Christmas
884,2021-01-01,United Kingdom,New Year's Day
885,2021-01-04,United Kingdom,New Year's Day
886,2021-03-17,United Kingdom,Saint Patrick's Day
887,2021-04-02,United Kingdom,Good Friday
888,2021-04-05,United Kingdom,Easter Monday
889,2021-05-03,United Kingdom,Early May Bank Holiday
890,2021-05-31,United Kingdom,Spring Bank Holiday
891,2021-07-12,United Kingdom,Battle of the Boyne
892,2021-08-02,United Kingdom,Summer Bank Holiday
893,2021-08-30,United Kingdom,Summer Bank Holiday
894,2021-11-30,United Kingdom,Saint Andrew's Day
895,2021-12-27,United Kingdom,Christmas Day
896,2021-12-28,United Kingdom,St. Stephen's Day
897,2021-01-01,Uruguay,New Year's Day
898,2021-01-06,Uruguay,Children's Day
899,2021-02-15,Uruguay,Carnival
900,2021-02-16,Uruguay,Carnival
901,2021-04-01,Uruguay,Maundy Thursday
902,2021-04-02,Uruguay,Good Friday
903,2021-04-19,Uruguay,Landing of the 33 Patriots Day
904,2021-05-01,Uruguay,International Workers' Day
905,2021-05-18,Uruguay,Battle of Las Piedras
906,2021-06-19,Uruguay,Birthday of José Gervasio Artigas and Never Again Day
907,2021-07-18,Uruguay,Constitution Day
908,2021-08-25,Uruguay,Independence Day
909,2021-10-12,Uruguay,Day of the race
910,2021-11-02,Uruguay,Deceased ones day
911,2021-12-25,Uruguay,Christmas Day
912,2021-01-01,Vatican City,"Solemnity of Mary, Mother of God"
913,2021-01-06,Vatican City,Epiphany
914,2021-02-11,Vatican City,Anniversary of the foundation of Vatican City
915,2021-03-13,Vatican City,Anniversary of the election of Pope Francis
916,2021-03-19,Vatican City,Saint Joseph's Day
917,2021-04-05,Vatican City,Easter Monday
918,2021-04-23,Vatican City,Saint George
919,2021-05-01,Vatican City,Saint Joseph the Worker
920,2021-06-29,Vatican City,Saints Peter and Paul
921,2021-08-15,Vatican City,Assumption Day
922,2021-09-08,Vatican City,Nativity of Mary
923,2021-11-01,Vatican City,All Saints
924,2021-12-08,Vatican City,Immaculate Conception
925,2021-12-25,Vatican City,Christmas Day
926,2021-12-26,Vatican City,St. Stephen's Day
927,2021-01-01,Venezuela,New Year's Day
928,2021-01-06,Venezuela,Epiphany
929,2021-01-14,Venezuela,Feast of the Divina Pastora
930,2021-01-15,Venezuela,Teacher's Day
931,2021-02-12,Venezuela,Youth Day
932,2021-02-15,Venezuela,Carnival
933,2021-02-16,Venezuela,Carnival
934,2021-02-20,Venezuela,Federation Day
935,2021-03-08,Venezuela,International Women's Day
936,2021-03-19,Venezuela,St Joseph's Day
937,2021-03-21,Venezuela,Slavery Abolition Anniversary
938,2021-03-31,Venezuela,"Foundation anniversary Day of San Cristóbal, Táchira"
939,2021-04-19,Venezuela,Beginning of the Independence Movement
940,2021-05-01,Venezuela,Labor Day
941,2021-05-03,Venezuela,Fiesta de las Cruces
942,2021-05-09,Venezuela,Mother's Day
943,2021-06-20,Venezuela,Father's Day
944,2021-06-24,Venezuela,Army Day
945,2021-06-27,Venezuela,Journalists' Day
946,2021-07-05,Venezuela,Independence Day
947,2021-07-18,Venezuela,Children's Day
948,2021-07-24,Venezuela,Navy Day
949,2021-07-25,Venezuela,Caracas City Foundation Day
950,2021-08-03,Venezuela,Flag Day
951,2021-09-08,Venezuela,Birth of the Blessed Virgin Mary and feasts of the Virgen del Valle and Our Lady of Coromoto
952,2021-09-24,Venezuela,Feast of the Our Lady of Mercy
953,2021-10-12,Venezuela,Day of Indigenous Resistance
954,2021-11-01,Venezuela,All Saints' Day
955,2021-11-02,Venezuela,All Souls' Day
956,2021-11-17,Venezuela,Feria of La Chinita
957,2021-11-18,Venezuela,Feria of La Chinita
958,2021-11-19,Venezuela,Feria of La Chinita
959,2021-11-21,Venezuela,University Students Day
960,2021-12-08,Venezuela,"Immaculate Conception, Loyalty Day"
961,2021-12-17,Venezuela,Simon Bolivar Memorial Day
962,2021-12-24,Venezuela,Christmas Eve
963,2021-12-25,Venezuela,Christmas Day
964,2021-12-31,Venezuela,New Year's Eve
965,2021-01-01,Vietnam,New Year's Day
966,2021-04-30,Vietnam,Reunification Day
967,2021-05-01,Vietnam,Labour Day
968,2021-09-02,Vietnam,National Day
